id,partner_name,party_type_id,partner_name_ja
324,"STICKMEN STUDIOS",2,
325,"STORMBASIC S.L.",2,
326,"STORMCLOUD GAMES LIMITED",2,
327,"STRANGE LOOP",2,
328,"SUBATOMIC STUDIOS",2,
329,"SUPER ICON LIMITED",2,
330,"SUPERGIANT GAMES",2,
331,"SWITCHBLADE MONKEYS ENTERTAINMENT INC",2,
332,"SYSTEM 3 SOFTWARE",2,株式会社システムスリージャパン
333,"TAG GAMES LIMITED",2,
334,"TAKE-TWO INTERACTIVE SOFTWARE",2,テイクツー・インタラクティブ・ジャパン合同会社
335,"TAMA GLOBAL",2,
336,"TANTRUM DYNAMIC",2,
337,"TARGEM GAMES",2,
338,"TASTY POISON GAMES (PTY)",2,
339,"TATE MULTIMEDIA S.A",2,"TATE MULTIMEDIA S.A"
340,"KOEI TECMO GAMES",2,株式会社コーエーテクモゲームス
341,"TELLTALE GAMES",2,
342,TEYON,2,"Teyon Japan合同会社"
343,"THE BEHEMOTH",2,"THE BEHEMOTH"
344,"THE FARM 51 GROUP SA",2,
345,"THE FYZZ FACILITY LIMITED",2,
346,"THE GAME ATELIER",2,
347,"THE GAME ROOM",2,
348,"THOMAS HAPP GAMES",2,
349,"THQ INC",2,ティー・エイチ・キュー・ジャパン株式会社
350,"TIGER GAMES LIMITED",2,
351,"TIGER STYLE LLC",2,
352,"TIKGAMES, LLC",2,
353,"TIKI GAMES, INC.",2,
354,"TIKIPOD LTD",2,
355,"TIMEGATE STUDIOS",2,
356,"TOPWARE INTERACTIVE",2,
357,TOZAI,2,"株式会社TOZAI GAMES"
358,"TREND MICRO INCORPORATED",2,トレンドマイクロ株式会社
359,"TRENDY ENTERTAINMENT",2,
360,"TRIBUTE GAMES",2,トライビュートゲームズ
361,"TRION WORLDS EUROPE",2,
362,"TUNEIN, INC.",2,チューンイン
363,"TWISTED DRAGON MEDIA",2,
364,UBISOFT,2,ユービーアイソフト株式会社
365,"UFO INTERACTIVE GAMES",2,
366,"URBANSCAN LIMITED",2,
367,"VALCON GAMES LLC",2,
368,"VALVE SOFTWARE",2,
369,"VEEMEE LIMITED",2,
370,"VERSUS EVIL",2,"VERSUS EVIL, LLC."
371,"VERTEX POP INC.",2,
372,"VIRTUAL AIR GUITAR COMPANY LTD.",2,
373,"VIRTUAL BURGER",2,バーチャルバーガー
374,"VIRTUAL TOYS",2,
375,"VIVID GAMES S.A.",2,
376,"VOGSTER ENTERTAINMENT, LLC",2,
377,"W! GAMES B.V.",2,
378,"WAHOO STUDIOS, INC",2,
379,"WALES INTERACTIVE LIMITED",2,
380,"WANDER MMO PTY LTD.",2,
381,WARGAMING,2,"WARGAMING WORLD LIMITED"
382,"WATERMELON CO.",2,
383,"WARNER BROS INTERACTIVE ENTERTAINMENT",2,"ワーナーブラザース ジャパン合同会社"
384,"WHA ENTERTAINMENT INC.",2,
385,"WIRED PRODUCTIONS",2,ワイヤードプロダクションズ
386,"WIZARDS OF THE COAST, LLC",2,ウィザーズオブザコースト
387,"XENDEX HOLDING GMBH",2,
388,"XGEN STUDIOS",2,
389,"XPEC ENTERTAINMENT INC",2,エックスペックエンターテイメント
390,"XS GAMES LLC",2,
391,"XSEED GAMES",2,
392,"YACHT CLUB GAMES",2,
393,"YOOSTAR ENTERTAINMENT GROUP",2,
394,"YOUNG HORSES",2,"YOUNG HORSES, INC."
395,"YUKES CO., LTD.",2,株式会社ユークス
396,"ZACHTRONICS LLC",2,
397,"ZALLAG S.A.S.",2,
398,"ZEN STUDIOS",2,"ZEN STUDIOS LTD."
399,"ZENIMAX MEDIA",2,ゼニマックス・アジア株式会社
400,"ZEROSCALE GAMES GMBH",2,
405,"100 TIN SOLDIERS",2,
407,"108LABS, LLC",2,
412,"12 HIT COMBO! S.A.S.",2,
413,"1337 & SENRI",2,
416,"13AM GAMES INC.",2,
426,1C,2,
428,"1C PUBLISHING EU S.R.O.",2,
429,"1C-SOFTCLUB, OOO",2,
431,1GAMES,2,1GAMES
439,2020VENTURE,2,
445,"20TH CENTURY FOX FILM CORPORATION",2,
446,"21C DUCKS",2,"21C DUCKS"
448,"22BLOCK MEDIA INC.",2,
452,"2401 STUDIOS",2,
455,"24 BIT GAMES (PTY) LTD",2,
458,"24I UNIT MEDIA B.V.",2,
461,"2AWESOME STUDIO VOF",2,
463,"2BIT STUDIOS PTY LTD",2,
473,"2K CZECH S.R.O.",2,
474,"2K GAMES",2,
479,"2TAINMENT GMBH",2,
483,"2XL GAMES",2,
484,"3000AD, INC",2,
485,"302 LLC",2,
487,"34BIGTHINGS SRL",2,
490,"3909 LLC",2,"3909 LLC"
491,"3D AVENUE",2,
494,"3DDUO PLC",2,
520,"3 SPROCKETS PTY LTD.",2,
530,"4A GAMES LIMITED",2,
531,"4BIT GAMES UB",2,
532,"4 CORNER GAMES",2,
535,4HIT,2,
549,"502 STUDIOS, SA",2,
555,"5 LIVES STUDIOS PTY LTD",2,
564,"6864954 MANITOBA LTD",2,
565,"70 TIMES 7 DESIGN",2,
574,"8-4, LTD",2,有限会社ハチノヨン
577,"8FLOOR LTD",2,
580,"8 RED PIXELS LLC",2,
582,"906STUDIOS LLC",2,
583,"9300-2665 QUEBEC INC.",2,
584,"9300-2665 QUEBEC INC. (DBA THUNDER LOTUS GAMES)",2,"9300-2665 QUEBEC INC. (DBA THUNDER LOTUS GAMES)"
585,"9325-2906 QUEBEC INC",2,
587,"9 DIMENSION STUDIOS",2,
592,"AAD PRODUCTIONS",2,
595,"ABBAS FILMS AND GAMES LTD",2,
614,"ABSINTHE GAMES, LLC",2,
625,ABSURD-O-MATIC,2,
628,ABYLIGHT,2,
629,"ABYLIGHT STUDIOS",2,
630,"ABYSMAL NINJA LLC",2,
631,"ABYSSAL ARTS LTD",2,
633,"ABYSS STUDIOS",2,
641,"ACCEDO BROADBAND (AUST) PTY LTD",2,
642,"ACCEDO BROADBAND",2,
653,"ACCLAIM ENTERTAINMENT, INC.",2,
663,"ACKK STUDIOS LLC",2,
667,"ACQUIRE CORP.",2,株式会社アクワイア
